"date","person","title","author"
"2017-09-02","Jack","Demigod Diaries","Riordan, Rick"
"2017-09-02","Jack","Donner Dinner Party","Hale, Nathan"
"2017-09-05","Jack","Where do you think you're going, Christopher Columbus?","Fritz, Jean"
"2017-09-14","Jack","Dogs: The Ultimate Care Guide",""
"2017-09-15","Jack","The Red Pyramid","Riordan, Rick"
"2017-09-19","Jack","...If You Sailed on The Mayflower in 1620","McGovern, Ann"
"2017-09-20","Jack","A Wrinkle in Time","L'Engle, Madeleine"
"2017-09-23","Jack","Throne of Fire","Riordan, Rick"
"2017-09-25","Jack","Sarah Morton's Day","Waters, Kate"
"2017-09-25","Jack","The Serpent's Shadow","Riordan, Rick"
"2017-09-29","Jack","Battle of the Labyrinth","Riordan, Rick"
"2017-10-10","Jack","Percy Jackson and the Olympians: The Last Olympian","Riordan, Rick"
"2017-10-06","Jack","The Witch of Blackbird Pond","Speare, Elizabeth George"
"2017-11-20","Jack","Johnny Tremain","Forbes, Esther"
"2017-12-31","Jack","The City of Ember","DuPrau, Jeanne"
"2017-12-31","Jack","The People of Sparks","DuPrau, Jeanne"
"2017-12-31","Jack","Gameknight999 vs. Herobrine","Cheverton, Mark"
"2017-12-31","Jack","Destruction of the Overworld","Cheverton, Mark"
"2017-12-31","Jack","Attack of the Shadow-crafters","Cheverton, Mark"
"2017-12-31","Jack","The Great Zombie Invasion","Cheverton, Mark"
"2018-01-09","Jack","George [Washington] vs. [King] George","Schanzer, Rosalyn"
"2018-01-09","Jack","George Washington: Leader of a New Nation","Osbourne, Mary Pope"
"2018-01-12","Jack","Rip Van Winkle and Other Stories","Irving, Washington"
"2018-01-13","Jack","Magnus Chase and the Gods of Asgard","Riordan, Rick"
"2018-01-23","Jack","White Fang","London, Jack"
"2018-01-23","Jack","Call of the Wild","London, Jack"
"2018-01-31","Jack","The Golden Compass","Pullman, Philip"
"2018-02-05","Jack","Star Wars: Before the Storm","Kube-McDowell, Michael P."
"2018-02-05","Jack","The Hardy Boys: The Masked Monkey","Dixon, Franklin W."
"2018-02-20","Jack","Children of the Wild West","Freedman, Russell"
