"date","person","title","author"
"2017-08-27","Simon","Greek Myths (Illustrated Classics)","Pirotta, Saviour"
"2017-09-02","Simon","Donner Dinner Party","Hale, Nathan"
"2017-09-05","Simon","My Side of the Mountain","George, Jean Craighead"
"2017-09-06","Simon","Anno's Aesop","Anno, Matsumasa"
"2017-09-12","Simon","The Red Pyramid","Riordan, Rick"
"2017-09-15","Simon","Little House in the Big Woods","Wilder, Laura Ingalls"
"2017-09-16","Simon","Gilgamesh","Bryson, Bernarda"
"2017-09-16","Simon","The Serpent's Shadow","Riordan, Rick"
"2017-09-16","Simon","Throne of Fire","Riordan, Rick"
"2017-09-20","Simon","Little House on the Prairie","Wilder, Laura Ingalls"
"2017-09-25","Simon","Hello Ruby","Liukas, Linda"
"2017-09-25","Simon","Breath of the Wild Strategy Guide",""
"2017-10-01","Simon","Hello Ruby: Journey Inside the Computer","Liukas, Linda"
"2017-10-05","Simon","Percy Jackson's Greek Gods","Riordan, Rick"
"2017-10-10","Simon","Percy Jackson: The Lightning Thief","Riordan, Rick"
"2017-10-10","Simon","Percy Jackson: The Sea of Monsters","Riordan, Rick"
"2017-10-10","Simon","Percy Jackson: The Titan's Curse","Riordan, Rick"
"2017-10-16","Simon","Winnie the Pooh","Milne, A.A."
"2017-10-16","Simon","The Last Olympian","Riordan, Rick"
"2017-10-23","Simon","The Lost Hero","Riordan, Rick"
"2017-10-23","Simon","Son of Neptune","Riordan, Rick"
"2017-10-27","Simon","Mark of Athena","Riordan, Rick"
"2017-10-27","Simon","The Velveteen Rabbit","Williams, Margery"
"2017-10-28","Simon","House of Hades","Riordan, Rick"
"2017-10-29","Simon","Blood of Olympus","Riordan, Rick"
"2017-12-13","Simon","Charlotte's Web","White, E.B."
"2017-12-31","Simon","The City of Ember","DuPrau, Jeanne"
"2017-12-31","Simon","The People of Sparks","DuPrau, Jeanne"
"2017-12-31","Simon","The Diamond of Darkhold","DuPrau, Jeanne"
"2017-12-31","Simon","Hyrule Historia","Thorpe, Patrick (Editor)"
"2018-01-09","Simon","The Prophet of Yonwood","DuPrau, Jeanne"
"2018-01-12","Simon","The Dark Prophecy (Trials of Apollo)","Riordan, Rick"
"2018-01-16","Simon","The Legend of Zelda: Twilight Princess Strategy Guide - Premiere Edition. Wii Version","Hodgson, David S. J., and Stratton, Stephen"
"2018-02-20","Simon","Pippi Longstocking",""
"2018-02-20","Simon","Peter Pan",""
"2018-04-12","Simon","Old Yeller","Gipson, Fred"
"2018-04-14","Simon","The Marvelous Land of Oz","Baum, L. Frank"
